Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1770837989.226	     4.822	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_034127025.2 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
29	:	1770837989.363	     4.721	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_021497425.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
12	:	1770837989.267	     4.860	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_036233295.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
22	:	1770837989.322	     4.810	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_054126005.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
10	:	1770837989.257	     4.887	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_022916475.3 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
7	:	1770837989.241	     4.916	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_003206535.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
6	:	1770837989.236	     4.927	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_025736975.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
23	:	1770837989.328	     4.863	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_021645445.2 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
17	:	1770837989.292	     4.914	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_009648875.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
16	:	1770837989.287	     4.956	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_053157655.2 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
5	:	1770837989.231	     5.068	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_016924585.2 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
15	:	1770837989.282	     5.049	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCA_021644285.3 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
39	:	1770837989.429	     4.907	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_049912795.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
31	:	1770837989.374	     4.984	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_049177105.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
26	:	1770837989.346	     5.111	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_029962185.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
40	:	1770837989.434	     5.042	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_044759015.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
20	:	1770837989.309	     5.180	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_019364615.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
43	:	1770837989.454	     5.224	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_027570455.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
34	:	1770837989.392	     5.391	0	0	0	0	write_metadata /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67/genomes/GCF_023520735.1 /home/kcw2/data/example_run/path2/synteny_search_outputs/results_65_67
